,Country Name,Dietary Sodium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Value
67,Cameroon,1315.50035514731,3.12208336711051,31.3293573439502,103.046144953838,780.916981477704,111.468721618724,2.63917486062783,14.5903064691648,4.62217848494323,64.552950043861,52.6963981883055,16.4
68,"Congo, Dem. Rep.",2892.12974629932,5.51972741841614,21.9053061593011,146.290618959636,707.881649387902,268.304035966312,2.63441751194603,15.5847432642617,15.8840024292795,31.9425592085573,53.4118574007467,3.6
69,"Congo, Dem. Rep.",2953.38703484574,6.16609139022503,21.6455241784858,140.438991898599,736.977947634925,255.312672997041,2.64720460231699,16.04086582377,16.9115654431928,27.8156202343484,56.2315099273857,9.7
70,"Congo, Rep.",1884.08548898955,5.7325480916244,26.2566408645834,161.854030036664,462.051229650326,133.563424242569,2.54577990909068,14.2507574229861,9.33658181563774,83.6000040979701,59.334787973733,5.5
71,"Congo, Rep.",1796.66334398072,6.47510414255271,26.772240104119,155.079807531373,478.517414931522,127.263328608243,2.55777895792708,13.8064034292605,9.73728280383553,79.5098742115041,62.8813184827258,13.5
72,Colombia,1149.74189830873,14.3162938667538,17.3986703838276,272.896382778641,756.873273344335,118.269216314163,2.68660405358522,12.1113415651084,8.62728846009601,44.9109690865656,49.8803276016694,17.6
73,Colombia,1108.47906846476,13.8973673776447,18.4537653126014,271.017215216741,716.942122794203,111.633296794388,2.69315430380529,12.4969329255634,9.00243708101328,45.4761483077132,49.5243850695226,26.6
74,Comoros,2004.79796359342,5.69012819995942,21.5574069515133,138.048351488005,661.110915477309,65.2820567490415,2.57286660112342,11.5779425588848,9.0322907857596,58.2515198013045,59.9012391830155,3.3
75,Comoros,1912.48620227143,6.39455157886316,21.8674584297919,132.945866594779,679.989206855323,61.0857094206849,2.58638773163307,11.1860896066682,9.395986730871988,55.2043786552239,63.4342810435788,12.2
76,Cabo Verde,2179.80562657676,1.75877327662172,58.9071911440993,157.20870285529,779.691862112035,162.296462093121,2.70686476123103,12.3741379393262,11.179891868074,76.6119753429331,55.9711855335823,6.9
